DEBUG: Body Content Start: SET locvar_OptIn = 1; SET locvar_OptOut = 2; SET locvar_AusdruecklicheEinwilligungTelefonisch = '10'; SET locvar_AusdruecklicheEinwilligungOnline = '11'; SET locvar_MutmasslicheEinwilligung = '20'; SE
DEBUG: Body Content End: yValue,8,1) = '1') /* Vertriebskontaktstatus Freenet*/
        SET locvar_permissionStatus = locvar_OptOut else if(locvar_propertyTypeId in (132, 133, 134))
        SET locvar_permissionStatus = null 
DEBUG: Manual Tokenize Count: 155
Token 0: SET (TokenType.SET) Line 1
Token 1: locvar_OptIn (TokenType.VAR) Line 1
Token 2: = (TokenType.EQ) Line 1
Token 3: 1 (TokenType.NUMBER) Line 1
Token 4: ; (TokenType.SEMICOLON) Line 1
Token 5: SET (TokenType.SET) Line 1
Token 6: locvar_OptOut (TokenType.VAR) Line 1
Token 7: = (TokenType.EQ) Line 1
Token 8: 2 (TokenType.NUMBER) Line 1
Token 9: ; (TokenType.SEMICOLON) Line 1
Token 10: SET (TokenType.SET) Line 1
Token 11: locvar_AusdruecklicheEinwilligungTelefonisch (TokenType.VAR) Line 1
Token 12: = (TokenType.EQ) Line 1
Token 13: 10 (TokenType.STRING) Line 1
Token 14: ; (TokenType.SEMICOLON) Line 1
Token 15: SET (TokenType.SET) Line 1
Token 16: locvar_AusdruecklicheEinwilligungOnline (TokenType.VAR) Line 1
Token 17: = (TokenType.EQ) Line 1
Token 18: 11 (TokenType.STRING) Line 1
Token 19: ; (TokenType.SEMICOLON) Line 1
Token 20: SET (TokenType.SET) Line 1
Token 21: locvar_MutmasslicheEinwilligung (TokenType.VAR) Line 1
Token 22: = (TokenType.EQ) Line 1
Token 23: 20 (TokenType.STRING) Line 1
Token 24: ; (TokenType.SEMICOLON) Line 1
Token 25: SET (TokenType.SET) Line 1
Token 26: locvar_Firmenkunde (TokenType.VAR) Line 1
Token 27: = (TokenType.EQ) Line 1
Token 28: 30 (TokenType.STRING) Line 1
Token 29: ; (TokenType.SEMICOLON) Line 1
Token 30: SET (TokenType.SET) Line 1
Token 31: locvar_Unbekannt (TokenType.VAR) Line 1
Token 32: = (TokenType.EQ) Line 1
Token 33: 40 (TokenType.STRING) Line 1
Token 34: ; (TokenType.SEMICOLON) Line 1
Token 35: SET (TokenType.SET) Line 1
Token 36: locvar_KeineEinwilligung (TokenType.VAR) Line 1
Token 37: = (TokenType.EQ) Line 1
Token 38: 50 (TokenType.STRING) Line 1
Token 39: ; (TokenType.SEMICOLON) Line 1
Token 40: SET (TokenType.SET) Line 1
Token 41: locvar_AusdruecklicheAblehnung (TokenType.VAR) Line 1
Token 42: = (TokenType.EQ) Line 1
Token 43: 60 (TokenType.STRING) Line 1
Token 44: SET (TokenType.SET) Line 1
Token 45: locvar_permissionStatus (TokenType.VAR) Line 1
Token 46: = (TokenType.EQ) Line 1
Token 47: null (TokenType.NULL) Line 1
Token 48: if (TokenType.IF) Line 1
Token 49: ( (TokenType.L_PAREN) Line 1
Token 50: locvar_propertyTypeId (TokenType.VAR) Line 1
Token 51: in (TokenType.IN) Line 1
Token 52: ( (TokenType.L_PAREN) Line 1
Token 53: 77 (TokenType.NUMBER) Line 1
Token 54: , (TokenType.COMMA) Line 1
Token 55: 79 (TokenType.NUMBER) Line 1
Token 56: , (TokenType.COMMA) Line 1
Token 57: 82 (TokenType.NUMBER) Line 1
Token 58: , (TokenType.COMMA) Line 1
Token 59: 85 (TokenType.NUMBER) Line 1
Token 60: , (TokenType.COMMA) Line 1
Token 61: 100 (TokenType.NUMBER) Line 1
Token 62: , (TokenType.COMMA) Line 1
Token 63: 102 (TokenType.NUMBER) Line 1
Token 64: , (TokenType.COMMA) Line 1
Token 65: 110 (TokenType.NUMBER) Line 1
Token 66: , (TokenType.COMMA) Line 1
Token 67: 111 (TokenType.NUMBER) Line 1
Token 68: ) (TokenType.R_PAREN) Line 1
Token 69: ) (TokenType.R_PAREN) Line 1
Token 70: SET (TokenType.SET) Line 2
Token 71: locvar_permissionStatus (TokenType.VAR) Line 2
Token 72: = (TokenType.EQ) Line 2
Token 73: locvar_OptOut (TokenType.VAR) Line 2
Token 74: else (TokenType.ELSE) Line 2
Token 75: if (TokenType.IF) Line 2
Token 76: ( (TokenType.L_PAREN) Line 2
Token 77: locvar_propertyTypeId (TokenType.VAR) Line 2
Token 78: in (TokenType.IN) Line 2
Token 79: ( (TokenType.L_PAREN) Line 2
Token 80: 117 (TokenType.NUMBER) Line 2
Token 81: , (TokenType.COMMA) Line 2
Token 82: 118 (TokenType.NUMBER) Line 2
Token 83: , (TokenType.COMMA) Line 2
Token 84: 119 (TokenType.NUMBER) Line 2
Token 85: , (TokenType.COMMA) Line 2
Token 86: 120 (TokenType.NUMBER) Line 2
Token 87: ) (TokenType.R_PAREN) Line 2
Token 88: ) (TokenType.R_PAREN) Line 2
Token 89: begin (TokenType.BEGIN) Line 3
Token 90: if (TokenType.IF) Line 4
Token 91: ( (TokenType.L_PAREN) Line 4
Token 92: locvar_propertyValue (TokenType.VAR) Line 4
Token 93: in (TokenType.IN) Line 4
Token 94: ( (TokenType.L_PAREN) Line 4
Token 95: locvar_AusdruecklicheEinwilligungTelefonisch (TokenType.VAR) Line 4
Token 96: , (TokenType.COMMA) Line 4
Token 97: locvar_AusdruecklicheEinwilligungOnline (TokenType.VAR) Line 4
Token 98: ) (TokenType.R_PAREN) Line 4
Token 99: ) (TokenType.R_PAREN) Line 4
Token 100: SET (TokenType.SET) Line 5
Token 101: locvar_permissionStatus (TokenType.VAR) Line 5
Token 102: = (TokenType.EQ) Line 5
Token 103: locvar_OptIn (TokenType.VAR) Line 5
Token 104: else (TokenType.ELSE) Line 5
Token 105: if (TokenType.IF) Line 5
Token 106: ( (TokenType.L_PAREN) Line 5
Token 107: locvar_propertyValue (TokenType.VAR) Line 5
Token 108: = (TokenType.EQ) Line 5
Token 109: locvar_AusdruecklicheAblehnung (TokenType.VAR) Line 5
Token 110: ) (TokenType.R_PAREN) Line 5
Token 111: SET (TokenType.SET) Line 6
Token 112: locvar_permissionStatus (TokenType.VAR) Line 6
Token 113: = (TokenType.EQ) Line 6
Token 114: locvar_OptOut (TokenType.VAR) Line 6
Token 115: end (TokenType.END) Line 6
Token 116: else (TokenType.ELSE) Line 7
Token 117: if (TokenType.IF) Line 7
Token 118: ( (TokenType.L_PAREN) Line 7
Token 119: locvar_propertyTypeId (TokenType.VAR) Line 7
Token 120: = (TokenType.EQ) Line 7
Token 121: 115 (TokenType.NUMBER) Line 7
Token 122: and (TokenType.AND) Line 7
Token 123: SUBSTRING (TokenType.VAR) Line 7
Token 124: ( (TokenType.L_PAREN) Line 7
Token 125: locvar_propertyValue (TokenType.VAR) Line 7
Token 126: , (TokenType.COMMA) Line 7
Token 127: 8 (TokenType.NUMBER) Line 7
Token 128: , (TokenType.COMMA) Line 7
Token 129: 1 (TokenType.NUMBER) Line 7
Token 130: ) (TokenType.R_PAREN) Line 7
Token 131: = (TokenType.EQ) Line 7
Token 132: 1 (TokenType.STRING) Line 7
